Geography,Gender,Age,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
France,Female,42,0,1,1,101348.88,1
Spain,Female,41,83807.86,0,1,112542.58,0
France,Female,42,159660.8,1,0,113931.57,1
France,Female,39,0,0,0,93826.63,0
Spain,Female,43,125510.82,1,1,79084.1,0
Spain,Male,44,113755.78,1,0,149756.71,1
France,Male,50,0,1,1,10062.8,0
Germany,Female,29,115046.74,1,0,119346.88,1
France,Male,44,142051.07,0,1,74940.5,0
France,Male,27,134603.88,1,1,71725.73,0
France,Male,31,102016.72,0,0,80181.12,0
Spain,Male,24,0,1,0,76390.01,0
France,Female,34,0,1,0,26260.98,0
France,Female,25,0,0,0,190857.79,0
Spain,Female,35,0,1,1,65951.65,0
Germany,Male,45,143129.41,0,1,64327.26,0
Germany,Male,58,132602.88,1,0,5097.67,1
Spain,Female,24,0,1,1,14406.41,0
Spain,Male,45,0,0,0,158684.81,0
France,Female,24,0,1,1,54724.03,0
France,Male,41,0,1,1,170886.17,0
Spain,Female,32,0,1,0,138555.46,0
Spain,Female,38,0,1,0,118913.53,1
France,Male,46,0,0,1,8487.75,0
France,Female,38,0,1,1,187616.16,0
France,Male,25,0,0,1,124508.29,0
Germany,Male,36,136815.64,1,1,170041.95,0
France,Male,44,0,0,0,38433.35,0
Germany,Female,43,141349.43,1,1,100187.43,0
France,Male,29,59697.17,1,1,53483.21,0
Spain,Female,39,0,1,0,140469.38,1
France,Male,36,85311.7,0,1,156731.91,0
Germany,Male,41,110112.54,0,0,81898.81,0
Spain,Female,42,0,1,1,34410.55,0
Spain,Female,29,0,1,1,142033.07,0
France,Female,45,134264.04,1,0,27822.99,1
Spain,Male,31,145260.23,0,1,114066.77,0
Spain,Male,33,76548.6,0,1,98453.45,0
France,Male,36,0,1,1,40812.9,0
Germany,Male,41,70349.48,0,1,178074.04,0
Spain,Male,40,0,1,0,70154.22,0
France,Female,51,122522.32,0,0,181297.65,1
France,Female,61,117419.35,1,1,94153.83,0
France,Female,49,131394.56,0,0,194365.76,1
Spain,Female,61,155931.11,1,1,158338.39,0
Germany,Female,32,109421.13,1,1,126517.46,0
Germany,Female,27,112045.67,1,1,119708.21,1
Germany,Female,39,137843.8,1,1,117622.8,1
Germany,Male,38,103391.38,0,1,90878.13,0
Germany,Female,37,103769.22,1,0,194099.12,0
Germany,Male,44,116363.37,1,0,198059.16,0
Germany,Male,36,146050.97,0,0,86424.57,0
France,Female,33,0,0,0,116978.19,0
Germany,Male,41,125561.97,0,0,164040.94,1
Germany,Male,42,98495.72,1,0,40014.76,1
France,Male,43,125211.92,1,1,113410.49,0
France,Male,45,127864.4,1,0,87107.57,0
Germany,Male,19,75888.2,0,0,45613.75,0
Spain,Female,66,0,1,0,1643.11,1
France,Male,51,40685.92,1,1,46775.28,0
Germany,Male,35,136857,0,0,84509.57,0
Germany,Female,27,152328.88,0,0,126494.82,0
Spain,Male,33,56084.69,0,0,178798.13,0
Spain,Male,56,78707.16,1,1,99398.36,0
Germany,Male,26,109166.37,1,1,92840.67,0
Germany,Female,36,169831.46,1,1,27758.36,0
Germany,Female,34,101633.04,1,0,110431.51,0
Germany,Male,43,123180.01,1,1,196673.28,0
Germany,Female,35,150725.53,0,1,113656.85,0
France,Female,21,98373.26,1,0,18203,0
Germany,Male,58,133745.44,1,0,28373.86,1
France,Male,29,0,1,0,33953.87,0
Spain,Female,37,163607.18,0,1,44203.55,0
Germany,Female,25,157780.84,1,1,58426.81,0
France,Male,36,0,0,1,145562.4,0
France,Female,21,178718.19,1,0,22388,0
France,Male,55,0,1,1,139161.64,0
France,Female,32,0,1,1,148210.64,0
Spain,Male,33,77253.22,0,1,194239.63,0
Germany,Female,41,122189.66,1,0,98301.61,0
France,Female,34,96645.54,0,0,171413.66,0
France,Female,32,0,1,0,136458.19,1
France,Female,36,0,0,0,26019.59,0
France,Female,34,90307.62,1,1,159235.29,0
France,Female,46,0,1,0,1907.66,0
Spain,Female,75,0,1,1,114675.75,0
Spain,Male,22,121681.82,1,0,128643.35,1
France,Male,30,0,1,0,151869.35,0
France,Female,46,0,1,0,93251.42,1
Germany,Female,28,81623.67,1,1,156791.36,0
Spain,Female,44,0,1,1,174205.22,1
France,Male,45,118626.55,1,0,147132.46,0
France,Female,36,0,1,0,109614.57,0
France,Male,29,0,1,1,172290.61,0
Spain,Male,42,0,0,1,85982.47,0
Spain,Male,35,176273.95,0,1,121277.78,0
Spain,Male,41,102827.44,0,1,64595.25,0
Germany,Male,29,97086.4,1,1,197276.13,0
Spain,Male,22,0,0,0,99645.04,0
France,Male,34,0,0,0,6534.18,0
France,Female,40,0,1,1,161848.03,0
France,Female,44,0,0,0,167162.43,0
France,Male,31,82674.15,1,0,41970.72,0
Spain,Male,36,0,1,0,60536.56,0
Spain,Female,65,0,1,1,177655.68,1
Spain,Female,46,107073.27,1,1,30984.59,1
Germany,Male,32,88938.62,1,1,10054.53,0
Germany,Female,36,99806.85,0,1,36976.52,0
Spain,Male,33,150092.8,0,0,71862.79,0
Germany,Male,35,92833.89,1,0,99449.86,1
Germany,Male,30,90536.81,0,1,63082.88,0
Germany,Male,39,108055.1,1,0,27231.26,0
France,Male,42,100238.35,0,0,86797.41,0
Spain,Male,36,106190.55,0,1,22994.32,0
Germany,Male,28,154475.54,0,1,101300.94,1
Germany,Female,30,132351.29,1,1,74169.13,0
Germany,Female,37,167864.4,1,0,115638.29,0
France,Female,41,0,1,0,31766.3,0
Germany,Female,31,107818.63,1,0,199725.39,1
Germany,Male,34,185173.81,1,0,120834.48,0
France,Male,34,129433.34,0,0,38131.77,0
Spain,Male,39,120193.42,0,0,100130.95,0
France,Female,39,0,1,0,141069.88,0
Germany,Female,48,126384.42,1,1,198129.36,0
France,Female,28,0,0,0,183646.41,0
France,Male,42,152603.45,1,0,110265.24,1
France,Female,52,0,0,1,8636.05,1
Germany,Male,56,148507.24,1,0,46824.08,1
France,Female,41,0,1,0,171378.77,0
France,Male,24,101827.07,1,0,167256.35,0
France,Female,34,0,1,1,124226.16,0
Germany,Female,33,130862.43,1,1,114935.21,0
France,Male,38,122570.87,1,1,35608.88,0
France,Male,25,0,0,1,16459.37,0
Germany,Male,39,124828.46,1,1,124411.08,0
Germany,Female,50,144895.05,1,1,34941.23,0
Germany,Female,34,63663.93,0,1,167784.28,0
France,Male,40,133463.1,0,1,93165.34,0
Spain,Female,48,213146.2,1,0,75161.25,1
Spain,Female,35,129490.36,0,1,8590.83,1
